oa_code,All people,No condition,One or more conditions,Deafness or partial hearing loss,Blindness or partial sight loss,Learning disability,Learning difficulty,Developmental disorder,Physical disability,Mental health condition,Other condition
S00118083,86,57,29,8,3,0,1,2,5,4,19
S00118084,55,40,15,3,1,2,1,0,2,1,9
S00118085,106,64,42,8,1,0,2,0,6,4,28
S00118086,132,94,38,5,4,1,6,1,5,4,23
S00118087,109,79,30,10,1,0,0,2,5,1,22
S00118088,113,84,29,3,1,1,2,1,6,2,23
S00118089,63,53,10,4,0,0,0,1,2,1,7
S00118090,80,61,19,2,4,2,2,0,8,2,13
S00118091,85,48,37,11,3,0,3,0,9,7,17
S00118092,154,113,41,11,7,0,4,0,11,4,19
S00118093,54,41,13,4,2,0,0,0,4,0,8
S00118094,121,69,52,18,8,0,3,0,14,9,28
S00118095,150,105,45,12,2,0,2,0,9,7,29
S00118096,116,80,36,16,4,0,2,0,6,2,20
S00118097,127,96,31,10,3,0,0,0,7,2,19
S00118098,107,65,42,12,6,0,0,0,8,1,25
S00118099,98,64,34,13,3,1,2,2,10,2,20
S00118100,126,77,49,13,5,0,2,0,15,1,29
S00118101,76,45,31,9,3,0,1,0,9,4,21
S00118102,127,73,54,24,6,0,2,1,13,6,30
S00118103,117,72,45,10,5,1,2,1,11,3,26
S00118104,133,99,34,5,1,0,2,0,12,1,20
S00118105,82,48,34,12,3,0,3,1,13,1,28
S00118106,131,75,56,15,4,1,1,0,11,4,40
S00118107,63,37,26,8,2,0,0,0,7,0,17
S00118108,161,99,62,20,5,0,5,2,13,10,32
S00118109,112,85,27,11,1,0,1,0,4,2,16
S00118110,72,45,27,8,1,0,2,0,5,1,18
S00118111,182,128,54,12,1,0,3,2,6,11,31
S00118112,59,42,17,4,3,0,1,0,3,0,14
S00118113,69,46,23,6,2,1,0,0,8,4,19
S00118114,91,65,26,5,0,0,2,0,6,1,20
S00118115,123,85,38,11,5,2,0,0,9,5,23
S00118116,101,69,32,11,2,0,4,1,10,2,16
S00118117,174,112,62,15,4,0,2,0,17,6,33
S00118118,131,92,39,11,2,0,0,1,13,4,27
S00118119,137,90,47,12,5,0,1,0,10,3,33
S00118120,153,108,45,10,3,0,4,0,7,3,31
S00118121,106,77,29,7,2,0,2,0,5,9,15
S00118122,108,77,31,4,1,1,2,0,8,3,24
S00118123,59,43,16,4,1,1,2,0,4,1,13
S00118124,98,70,28,4,0,3,1,0,5,2,15
S00118125,109,68,41,9,2,0,3,1,7,2,32
S00118126,78,34,44,9,5,0,4,1,13,3,30
S00118127,66,43,23,7,1,0,0,0,4,1,15
S00118128,124,103,21,7,2,0,1,1,5,1,13
S00118129,106,85,21,4,2,0,1,0,5,1,13
S00118130,113,73,40,7,3,1,2,0,11,3,26
S00118131,113,65,48,11,2,0,5,1,9,4,32
S00118132,104,64,40,12,5,0,1,0,8,0,27
S00118133,89,61,28,8,4,0,2,0,6,4,17
S00118134,122,80,42,5,1,0,1,0,9,2,30
S00118135,143,109,34,5,2,1,6,1,10,2,19
S00118136,96,66,30,8,0,0,1,1,7,1,20
S00118137,209,163,46,7,1,0,9,3,6,5,30
S00118138,161,121,40,6,4,0,1,1,8,6,25
S00118139,111,93,18,5,1,0,1,1,1,4,10
S00118140,123,90,33,4,6,0,11,1,10,8,16
S00118141,133,110,23,2,2,0,4,0,4,7,8
S00118142,112,84,28,4,5,0,1,0,6,2,17
S00118143,122,94,28,2,1,0,4,2,10,8,10
S00118144,154,120,34,4,2,0,0,0,10,5,25
S00118145,119,94,25,1,3,0,5,0,1,0,16
S00118146,74,42,32,8,3,0,2,1,5,8,15
S00118147,144,98,46,12,8,1,5,2,7,5,24
S00118148,126,90,36,11,4,3,5,2,7,4,17
S00118149,85,64,21,1,1,1,10,0,3,4,7
S00118150,133,97,36,7,3,1,4,1,6,11,18
S00118151,113,91,22,3,0,1,3,2,5,4,10
S00118152,104,83,21,5,2,0,2,1,6,3,10
S00118153,83,55,28,2,3,3,4,3,6,5,15
S00118154,100,63,37,6,4,1,3,2,7,9,17
