oa_code,All households,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Aged 0 to 4,One or more persons in household with a long-term health problem or disability: With dependent children,One or more persons in household with a long-term health problem or disability: No dependent children
S00089423,59,0,13,24,8,1,10
S00089424,52,1,14,21,12,2,6
S00089425,65,1,6,29,11,2,5
S00089426,66,0,1,36,18,2,0
S00089427,30,1,10,10,2,3,5
S00089428,43,0,10,9,5,0,6
S00089429,53,0,23,19,6,3,17
S00089430,66,2,33,11,6,3,29
S00089431,33,1,12,10,4,1,6
S00089432,26,0,6,7,3,0,7
S00089433,48,1,18,6,3,2,11
S00089434,27,0,5,10,3,2,6
S00089435,48,0,14,16,2,0,11
S00089436,48,0,17,17,3,3,5
S00089437,55,0,13,15,5,1,10
S00089438,54,0,13,20,6,4,13
S00089439,44,0,12,14,1,2,10
S00089440,22,0,7,8,1,1,5
S00089441,44,3,13,13,7,5,10
S00089442,61,0,17,6,2,0,20
S00089443,36,0,10,4,3,0,7
S00089444,75,0,10,4,2,0,4
S00089445,72,0,9,7,6,0,5
S00089446,50,0,8,4,2,0,3
S00089447,47,1,7,7,6,0,3
S00089448,52,0,9,6,3,0,6
S00089449,80,0,17,7,1,1,10
S00089450,43,2,10,15,8,2,10
S00089451,61,1,40,6,3,2,34
S00089452,76,0,45,5,2,1,35
S00089453,78,0,24,4,3,0,19
S00089454,47,0,22,1,0,0,18
S00089455,66,2,36,5,2,1,31
S00089456,77,2,24,9,6,2,26
S00089457,54,0,9,1,1,0,10
S00089458,46,0,8,6,4,0,4
S00089459,39,0,7,1,1,0,9
S00089460,75,0,68,0,0,0,53
S00089461,76,0,26,2,1,0,24
S00089462,57,0,15,0,0,0,14
S00089463,70,1,15,4,1,1,12
S00089464,67,0,11,4,2,1,8
S00089465,57,0,7,2,2,0,5
S00089466,33,0,5,3,2,0,3
S00089467,49,1,6,4,2,2,4
S00089468,41,2,7,8,4,2,5
S00089469,50,4,10,12,7,3,4
S00089470,41,0,4,1,1,0,4
S00089471,42,0,3,5,2,0,6
S00089472,46,2,10,11,4,5,10
S00089473,59,1,7,4,3,1,14
S00089474,94,1,32,3,1,1,17
S00089475,43,0,11,4,1,0,5
S00089476,37,0,6,2,1,0,8
S00089477,58,0,11,2,1,0,8
S00089478,54,0,18,3,2,0,7
S00089479,42,1,6,3,3,0,3
S00089480,40,1,11,2,2,0,4
S00089481,61,1,10,3,2,0,2
S00089482,48,0,10,2,2,0,6
S00089483,46,0,9,3,2,0,7
S00089484,63,0,28,4,3,0,36
S00089485,42,0,11,2,2,0,3
S00089486,72,1,50,2,1,0,42
S00089487,55,2,29,5,5,1,24
S00089488,63,1,28,2,2,0,19
S00089489,79,0,27,3,2,0,7
S00089490,79,0,25,4,1,0,11
S00089491,46,0,9,1,1,0,8
S00089492,51,1,20,2,2,1,21
S00089493,40,0,19,2,1,1,13
S00089494,51,0,28,2,2,0,30
S00089495,43,4,20,7,7,0,17
S00089496,48,1,23,1,1,0,25
S00089497,70,3,15,10,7,1,9
S00089498,57,3,11,18,10,3,15
S00089499,36,3,10,14,6,5,6
S00089500,46,3,15,9,6,2,12
S00089501,68,4,20,21,6,4,17
S00089502,65,3,17,20,13,3,13
S00089503,56,0,54,0,0,0,46
S00089504,52,0,44,0,0,0,35
S00089505,50,0,44,0,0,0,34
S00089506,48,1,7,10,2,1,12
S00089507,52,2,21,13,8,1,16
S00089508,53,0,9,14,2,3,16
S00089509,31,0,8,2,2,0,6
S00089510,55,5,12,21,8,3,14
S00089511,44,3,11,16,6,2,16
S00089512,42,3,9,4,3,2,8
S00089513,63,4,18,15,6,3,19
S00089514,40,8,8,16,8,7,11
S00089515,62,0,16,15,10,1,16
S00089516,64,3,16,5,2,1,18
S00089517,52,0,30,3,1,1,24
S00089518,101,7,51,21,6,6,39
S00089519,53,3,19,9,3,5,20
S00089520,42,0,14,8,4,1,11
S00089521,71,0,30,11,4,4,23
S00089522,52,0,13,10,4,1,10
S00089523,47,4,19,12,6,5,19
S00089524,56,2,22,9,2,2,22
S00089525,39,0,16,8,5,0,16
S00089526,75,1,57,7,5,0,43
S00089527,75,0,62,2,0,1,56
S00089528,64,1,29,3,3,0,26
S00089529,58,1,24,10,5,2,24
S00089530,36,1,9,6,3,1,7
S00089531,44,3,14,8,4,1,15
S00089532,58,1,12,12,7,2,15
S00089533,40,1,13,11,5,3,12
S00089534,59,1,16,10,5,2,17
S00089535,42,3,13,12,9,1,12
S00089536,64,5,21,15,5,4,21
S00089537,37,0,10,8,6,0,17
S00089538,38,2,14,9,5,3,19
S00089539,41,2,12,12,7,4,13
S00089540,48,0,12,16,4,2,9
S00089541,44,2,10,12,7,2,17
S00089542,83,0,1,8,7,2,3
S00089543,54,2,23,6,3,2,21
S00089544,52,5,5,14,5,2,8
S00089545,55,0,52,0,0,0,42
S00089546,47,3,10,19,8,2,10
S00089547,69,2,12,18,6,5,20
S00089548,104,2,30,12,8,2,19
S00089549,61,2,22,8,5,0,21
S00089550,50,2,18,14,8,0,15
S00089551,60,0,31,1,0,1,27
S00089552,35,0,3,7,5,2,3
S00089553,36,0,5,4,3,0,5
S00089554,41,3,13,8,4,2,10
S00089555,71,1,19,12,8,1,20
S00089556,46,0,11,8,5,0,7
S00089557,95,1,28,8,4,0,19
S00089558,58,5,9,18,8,3,11
S00089559,70,1,15,23,10,4,16
S00089560,53,1,22,5,2,2,15
S00089561,41,4,9,14,9,4,8
S00089562,62,2,21,12,7,0,22
S00089563,40,2,13,5,3,1,12
S00089564,45,0,7,11,5,2,10
S00089565,71,2,17,18,9,5,20
S00089566,68,2,16,13,4,2,14
S00089567,62,4,9,35,12,11,11
S00089568,64,1,13,23,9,5,15
S00089569,74,0,45,7,2,2,38
S00089570,54,4,14,26,8,7,12
S00089571,61,2,12,14,6,3,12
S00089572,41,0,19,4,2,0,9
S00089573,48,0,16,10,5,1,14
S00089574,46,0,9,4,1,2,5
S00089575,35,3,9,6,5,0,5
S00089576,53,2,10,11,7,1,11
S00089577,37,3,9,15,7,4,8
S00089578,41,4,9,19,10,4,11
S00089579,38,2,4,14,9,4,5
S00089580,44,5,10,19,12,4,8
S00089581,35,2,8,12,5,3,7
S00089582,53,4,10,23,16,0,8
S00089583,77,4,28,11,7,1,33
S00089584,38,3,21,6,5,3,21
S00089585,59,1,19,18,7,4,11
S00089586,43,4,6,16,11,3,5
S00089587,43,2,17,8,2,2,14
S00089588,45,1,11,7,3,1,15
S00089589,40,0,14,5,5,0,15
S00089590,53,0,11,7,4,1,18
S00089591,45,1,11,16,5,3,14
S00089592,47,5,14,18,13,2,15
S00089593,53,7,15,16,4,4,19
S00089594,30,1,4,17,9,1,3
S00089595,48,3,10,13,6,3,13
S00089596,47,0,7,8,2,0,17
S00089597,45,9,7,27,16,10,7
S00089598,35,3,10,8,6,3,9
S00089599,64,4,18,21,11,2,17
S00089600,28,3,7,7,3,1,7
S00089601,37,2,7,9,4,2,8
S00089602,74,2,33,17,13,2,21
S00089603,49,1,18,6,3,3,17
S00089604,43,2,15,4,0,0,10
S00089605,76,4,27,14,7,3,23
S00089606,68,2,28,16,8,2,21
S00089607,49,3,2,28,16,3,2
S00089608,39,1,24,3,2,0,23
S00089609,45,7,8,20,15,3,6
S00089610,69,7,18,24,12,4,23
S00089611,58,2,29,6,3,1,22
S00089612,42,3,14,10,5,2,13
S00089613,30,0,16,1,0,0,13
S00089614,72,6,14,29,12,4,16
S00089615,55,5,18,14,9,3,19
S00089616,69,4,16,21,12,1,18
S00089617,69,2,8,31,19,4,8
S00089618,58,5,12,24,15,3,9
S00089619,63,4,11,23,16,1,7
S00089620,69,5,14,31,21,1,16
S00089621,43,0,37,0,0,0,30
S00089622,45,0,21,5,1,2,17
S00089623,48,1,21,9,4,1,16
S00089624,36,0,10,2,1,0,7
S00089625,43,0,12,12,7,1,8
S00089626,61,0,20,4,3,0,11
S00089627,46,0,11,1,0,1,7
S00089628,71,2,20,5,1,0,9
S00089629,65,6,11,20,10,3,13
S00089630,30,2,3,19,10,7,4
S00089631,52,3,15,17,11,7,11
S00089632,48,1,10,15,6,2,8
S00089633,79,5,16,17,11,4,19
S00089634,46,1,17,2,2,0,13
S00089635,34,0,7,0,0,0,2
S00089636,50,1,15,11,6,3,12
S00089637,40,0,15,1,1,0,5
S00089638,47,0,12,4,2,2,5
S00089639,61,0,11,2,2,0,4
S00089640,66,1,9,6,3,1,10
S00089641,38,0,12,3,1,2,7
S00089642,36,0,11,9,7,0,6
S00089643,67,2,10,14,7,1,11
S00089644,73,6,13,32,14,9,10
S00089645,66,5,17,23,13,4,14
S00089646,81,1,36,6,3,0,33
S00089647,66,0,14,4,4,0,5
S00089648,31,0,4,4,4,0,4
S00089649,50,1,23,5,2,2,23
S00089650,60,1,17,10,6,3,8
S00089651,64,2,8,12,8,3,11
S00089652,54,0,12,5,3,1,10
S00089653,59,3,12,3,3,0,9
S00089654,41,1,13,6,5,2,4
S00089655,29,2,7,3,3,0,5
S00089656,53,0,10,3,3,0,2
S00089657,31,0,7,5,1,1,5
S00089658,74,0,17,1,0,1,6
S00089659,48,1,11,2,1,0,6
S00089660,60,0,15,6,5,1,5
S00089661,91,0,33,3,3,0,18
S00089662,50,0,16,7,3,1,16
S00089663,70,2,19,3,2,0,8
S00089664,41,1,13,3,2,0,8
S00089665,64,0,8,4,4,0,4
